Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
Khurana V.; Gahalawat M.; Kumar P.; Roy P.P.; Dogra D.P.; Scheme E.; Soleymani M.,"Khurana, Vaishali (57198889210); Gahalawat, Monika (57215097494); Kumar, Pradeep (57217398142); Roy, Partha Pratim (56880478500); Dogra, Debi Prosad (35408975400); Scheme, Erik (57202922022); Soleymani, Mohammad (57188866370)",57198889210; 57215097494; 57217398142; 56880478500; 35408975400; 57202922022; 57188866370,A Survey on Neuromarketing Using EEG Signals,2021,IEEE Transactions on Cognitive and Developmental Systems,13,4,,732,749,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102682889&doi=10.1109%2fTCDS.2021.3065200&partnerID=40&md5=2e80cb9b3679499b15cbed54645892bd,"Neuromarketing is the application of neuroscience to the understanding of consumer preferences toward products and services. As such, it studies the neural activity associated with preference and purchase intent. Neuromarketing is considered an emerging area of research, driven in part by the approximately 400 billion dollars spent annually on advertisement and promotion. Given the size of this market, even a slight improvement in performance can have an immense impact. Traditional approaches to marketing consider a posteriori user feedback in the form of questionnaires, product ratings, or review comments, but these approaches do not fully capture or explain the real-time decision-making process of consumers. Various physiological measurement techniques have been proposed to facilitate the recording of this crucial aspect of the decision-making process, including brain imaging techniques [functional magnetic resonance imaging (fMRI), electroencephalography (EEG), steady state topography (SST)], and various biometric sensors. The use of EEG in neuromarketing is especially promising. EEG detects the sequential changes of brain activity, without appreciable time delay, needed to assess both the unconscious reaction and sensory reaction of the customer. Several types of EEG devices are now available in the market, each with its own advantages and disadvantages. Researchers have conducted experiments using many of these devices, across different age groups and different categories of products. Because of the deep insights that can be gained, the field of neuromarketing research is carefully monitored by consumer and research protection groups to ensure that subjects are properly protected. This article surveys a range of considerations for EEG-based neuromarketing strategies, including the types of information that can be gathered, how marketing stimuli are presented to consumers, how such strategies may affect the consumer in terms of appeal and memory, machine learning techniques applied in the field, and the variety of challenges faced, including ethics, in this emerging field. © 2016 IEEE.",E-commerce; electroencephalography (EEG); neuromarketing; neuroscience
Robaina-Calderín L.; Martín-Santana J.D.,"Robaina-Calderín, Lorena (57212303985); Martín-Santana, Josefa D. (25929488600)",57212303985; 25929488600,A review of research on neuromarketing using content analysis: key approaches and new avenues,2021,Cognitive Neurodynamics,15,6,,923,938,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118715600&doi=10.1007%2fs11571-021-09693-y&partnerID=40&md5=4260e4fc4bec1bee93f025b2bcbaf3b9,"There is currently a growing interest in a deeper understanding of consumer behaviour. In this context, the union of different disciplines such as neuroscience and marketing has given birth to new fields of knowledge, e.g. neuromarketing. This study is mainly aimed at carrying out a systematic revision of the literature on neuromarketing from a holistic point of view, analysing its definition and processes, as well as more specific aspects such as its ethics and applications. Based on the results of our review, following a combined methodology with a base dictionary and text mining, our study presents both the current lines of research and the future lines of work. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.",Consumer neuroscience; Dictionary; Neuromarketing; Qda-Miner; Text mining; Wordstat
Kakaria S.; Saffari F.; Z. Ramsøy T.; Bigné E.,"Kakaria, Shobhit (57211822428); Saffari, Farzad (57349815100); Z. Ramsøy, Thomas (58293713500); Bigné, Enrique (55132662600)",57211822428; 57349815100; 58293713500; 55132662600,Cognitive load during planned and unplanned virtual shopping: Evidence from a neurophysiological perspective,2023,International Journal of Information Management,72,,102667,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160564166&doi=10.1016%2fj.ijinfomgt.2023.102667&partnerID=40&md5=a671e63d2445f27d1fa28d7b66adb322,"Rapid adoption of virtual-reality-assisted retail applications is inadvertently reshaping consumer buying patterns, making it crucial for businesses to enhance their shopping experience. This new scenario challenges marketers with unique hurdles in both the commercialization of products and in managing information cues derived via VR retailing. Therefore, this study examined consumers’ impulsive behavior and unplanned purchases in a virtual retail store, using self-reports and electroencephalography. Borrowing assorted perspectives from retailing, virtual reality, and neuromarketing literature, we extended the stimulus-organism-response framework to evaluate how unplanned behavior evolves through conscious and unconscious measures. We found that consumers’ impulsiveness was significantly associated with their unplanned expenditure and the number of unplanned purchases. Using mediation analysis, we observed that flow experience during shopping partially mediated the relationship between the sense of presence and the desire to stay longer in a virtual shopping store. Desire to stay in the virtual store positively influenced store satisfaction, basket-size deviation, and budget deviation. Additionally, cognitive workload obtained via electroencephalogram revealed significant differences during both planned and unplanned purchases. These findings provide fresh opportunities for retailers to leverage the disruptive potential of immersive and interactive virtual technology to transform consumer shopping experiences. © 2023 The Authors",Cognitive load; Electroencephalogram; Impulse buying; Unplanned purchase; Virtual reality
Sameeha M.; Subhiksha M.; Arivudaiyanambi J.,"Sameeha, M. (57912545700); Subhiksha, M. (57712443200); Arivudaiyanambi, Janani (36518757600)",57912545700; 57712443200; 36518757600,Analysis and Evaluation of Consumers' Cognitive Responses to Visual and Gustatory Stimuli for Neuromarketing Application,2022,Journal of Physics: Conference Series,2318,1,012004,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139152520&doi=10.1088%2f1742-6596%2f2318%2f1%2f012004&partnerID=40&md5=9d1d248c57072823ae1097d1c4f502ac,"Neuromarketing merges viewpoints of marketing, neuroscience, economics, choice hypothesis that are required to analyze the psychology of consumers' preference to product development. The traditional methods involve product ratings, conducting questionnaire surveys that stumble upon verbal declarations provided by the vendees. Consumer Neuroscience describes the emotional, cognitive aspects that form the base of human decision making. Our study aims to utilize the neuroscientific information that distinguishes contrasts between healthy subjects' EEG signals for examining the brain activity during visual and gustatory stimuli of different flavours of a beverage brand. The EEG montage assigned according to brain-region-specific localization draws out the subjects' true elicited subconscious response regardless of whether the subject attempts to control his/her affective state. The results showed the activation of theta and delta bands of EEG signals during the given stimuli. These elicited signal variations can be used to identify the best favoured item for successful product dispatch and reduction in loss. Another major application is directed towards the customization of liquid food intake of locked-in, comatose, vegetative state patients by observing their brain response to the various fluid intake and determining the best response among them. This aids physicians to put the patients on a path to recovery. © Published under licence by IOP Publishing Ltd.",consumer neuroscience; EEG; marketing research; neuromarketing
Kansra P.; Oberoi S.; Gupta S.L.; Singh N.,"Kansra, Pooja (57188982506); Oberoi, Sumit (57205710178); Gupta, Shankar Lal (58037838200); Singh, Nripendra (56514428700)",57188982506; 57205710178; 58037838200; 56514428700,Factors limiting the application of consumer neuroscience: A systematic review,2022,Journal of Consumer Behaviour,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145289882&doi=10.1002%2fcb.2131&partnerID=40&md5=558d4eda28fec717daddce4a57b9f813,"Neuromarketing is perceived as burgeoning innovation in marketing research which facilitates understanding consumer behaviour and decision-making. Given this potential, still, most enterprises resist implementing neuromarketing techniques. Therefore, this study aims to identify the determinants that limits the application of neuromarketing. An extensive literature review was performed on databases such as Emerald, Jstor, Sage, Scopus and Web of Science. The inclusion criteria are grounded upon the ‘Population Intervention Comparison Outcome Study’ procedure and articles restricted to the English language, published between 2007 and July 2022 and indexed under peer-reviewed journals. A total of 36 research articles are included and not even a single study was obtained from Mediterranean & Middle East. Sixteen key determinants were acknowledged under the subcategory of psychological and operational variables as presented in the conceptual framework. These identified variables trigger psychological and operation constraints in decision making, thereby limiting the application of neuromarketing decisions. This study directs the need for a general level of cognizance and acknowledgment about neuromarketing, further developing the innovation culture in business corporates and affiliate marketing research needs to neuromarketing techniques. © 2022 John Wiley & Sons Ltd.",
Garg A.; Garg A.,"Garg, Arshya (58309674000); Garg, Anu (58309285500)",58309674000; 58309285500,Neuromarketing for redesigning the future of online education,2022,Promoting Consumer Engagement Through Emotional Branding and Sensory Marketing,,,,36,43,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161597608&doi=10.4018%2f978-1-6684-5897-6.ch004&partnerID=40&md5=42588a24f2515621b7c50f225c353209,"Learning is an ongoing process throughout the lifetime of an individual. To continue learning and promote self-growth, one should continuously keep building and upgrading their skills and knowledge base. This agenda was unshaken even during the pandemic when students could not go in person to educational institutions. This led to the rise of online education which was largely accelerated with the help of new technology (i.e., neuromarketing). This discipline came into the picture when this emerging technology helped to analyse customer needs. Application of neuromarketing is the life jacket to survive the high tides of the marketing competition and make it to the consumer shore. In this chapter, the authors present a case study illustrating the application of neuromarketing in online education (i.e., Cuemath). It targeted the parent's concern of their child staying safe in addition to keep a track of their child's learning and performance with minimal hassle and cost without compromising on its quality and how neuromarketing fills in the gaps left by traditional marketing methods. © 2023, IGI Global.",
Bortolotti A.; Cannito L.; Anzani S.; Palumbo R.,"Bortolotti, Alessandro (57224408285); Cannito, Loreta (57209070231); Anzani, Stefano (57211711909); Palumbo, Riccardo (36544470500)",57224408285; 57209070231; 57211711909; 36544470500,"The promise of color in marketing: use, applications, tips and neuromarketing",2023,Cultura e Scienza del Colore,15,1,,76,85,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164981718&doi=10.23738%2fCCSJ.150110&partnerID=40&md5=e506230b7450e139a26ae06a5c9011fb,"In our daily lives, we are constantly exposed to many stimuli, some of which influence our behavior without full awareness. One of these stimuli is color. In particular, our purchasing decisions are guided by individual color preferences. Color preferences influence various daily tasks. For example, people make decisions within 90 s of their first interaction with products, and approximately 60-90% of the evaluation of a product is based solely on its color properties. However, these types of behavior often escape consumer awareness, so marketing may need the help of neuroscience. Thus, it is necessary to place color preferences at the center of marketing strategies. However, few attempts have been made to unify the literature on the contribution of different color characteristics and the role of consumer characteristics. This article reviews scholarly articles that focus on the use of color in marketing, identifying salient features and highlighting limitations. Practical implications and future directions for this area of research are outlined, with a particular interest in neuromarketing. The results obtained will be useful for both basic research and companies that want to operate consciously in the use of color. © 2023, Gruppo del Colore? Associazione Italiana Colore. All rights reserved.",Color; Context; Marketing; Psychology
Pehlivan S.; Akbugday B.; Akan A.; Sadighzadeh R.,"Pehlivan, Sude (57215310544); Akbugday, Burak (57211987353); Akan, Aydin (35617283100); Sadighzadeh, Reza (57203171366)",57215310544; 57211987353; 35617283100; 57203171366,Detection of Olfactory Stimulus from EEG Signals for Neuromarketing Applications,2022,"2022 30th Signal Processing and Communications Applications Conference, SIU 2022",,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138703036&doi=10.1109%2fSIU55565.2022.9864841&partnerID=40&md5=a75607f5df8fcc75558683a59c2296ab,"In this study, a method is proposed to detect the presence of olfactory stimuli from Electroencephalogram (EEG) signals to be used in neuromarketing applications. Odor is used in different ways in neuromarketing applications since it stimulates various emotions. Multi-channel EEG signals were recorded from the volunteers while they were subjected to two open boxes of unscented and scented products in succession. After the necessary preprocessing steps, EEG sub-band powers were calculated for 14 EEG channels. These features were classified using machine learning methods, and the EEG segments in which the olfactory stimulus was present were classified. The results show that the proposed method gives successful results with 92% accuracy, 93% precision, 92% recall, and 92% F1-score using the Random Forest classifier. © 2022 IEEE.",Electroencephalogram (EEG); Machine learning; Neuromarketing; olfactory stimulus
Reikin V.S.; Voitovych S.Ya.; Danyliuk T.I.; Dedeliuk K.Yu.; Lorvi I.F.,"Reikin, Vitalii S. (56607347200); Voitovych, Serhii Ya. (57200503060); Danyliuk, Tetiana I. (57194901471); Dedeliuk, Kateryna Yu. (57226291759); Lorvi, Iryna F. (57211317687)",56607347200; 57200503060; 57194901471; 57226291759; 57211317687,Neuromarketing as Interdisciplinary Area: Theoretical and Methodological Analysis; [El Neuromarketing como Área Interdisciplinar: Análisis Teórico y Metodológico],2021,Estudios de Economia Aplicada,39,6,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111055986&doi=10.25115%2feea.v39i6.5164&partnerID=40&md5=0c5c42e3afd9706a6683f54ccc9e58c9,"Modern neuromarketing is a synthesis of behavioral economics theoretical and methodological foundations in close connection with the tools of neurophysiology which are successfully used in the practice of sensory marketing. At the same time, the basic methodological principle of neuromarketing is limited rationality in the context of behavioral and informational uncertainty. Purpose of publication - carrying out theoretical and methodological analysis of neuromarketing as a complex interdisciplinary and innovative area; disclosure of methodological principles and theoretical provisions of behavioral economics in the context of their applications in touch marketing. Such methods as analysis, comparison, generalization, systemic and logical ones were used in the research. It is argued that consumer decision-making in choice situations is influenced by emotions based on subconscious perception. It is proved that visual, sound and aromarketing are the main ""nudging"" factors of R. Thaler's theory in the context of neuromarketing. For the first time in the scientific discourse, the elements of the sensory component of neuromarketing are considered as stimulating factors for the implicit ""nudging"" of R. Thaler's behavioral economics theory. The theoretical and methodological foundations of neuromarketing research, which based on more realistic postulates of limited rationality, influence of emotions and information incompleteness in contrast to ""homo economicus"" neoclassical paradigm are improved. It is shown that a necessary condition for further successful development of neuromarketing is a combined interaction of psychology behavioral direction, neurophysiological technologies and empirical experience of marketers due to possible achievement of synergistic effect. The results of experimental studies, based on the empirical experience of a number of well-known scientists using neurophysiological methods, have proved the verification of the basic theoretical and methodological positions and individual effects of behavioral economics, which are actively used by Ukrainian marketers and marketers of other countries. © 2021 Ascociacion Internacional de Economia Aplicada.",Behavioral economics; Consumer; Economy; Emotions; Sensory marketing
,,,"2021 IEEE 2nd International Conference on Technology, Engineering, Management for Societal Impact using Marketing, Entrepreneurship and Talent, TEMSMET 2021",2021,"2021 IEEE 2nd International Conference on Technology, Engineering, Management for Societal Impact using Marketing, Entrepreneurship and Talent, TEMSMET 2021",,,,,,217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130629222&partnerID=40&md5=bb782d5e0813f1bbdc5fe9390c011743,"The proceedings contain 37 papers.  The topics discussed include: bearing health condition monitoring using time-domain acoustic signal features; multi source device policy management; anti-abduction device for women, children and elderly; context-based email ranking system for enterprise; a review on student performance prediction using educational data mining and artificial intelligence; the role of resilience and human rights in the green and digital transformation of supply chain; from the word-of-mouth to social impact: a bibliometric analysis of social media marketing; a novel application of neuromarketing for designing user interface mockups to enhance user experience in software development; predictive analysis for calculation of crop yield using datamining and machine learning; and utilizing an integrated feature selection technique in ovarian cancer to solve classification problem.",
Ahmed R.R.; Streimikiene D.; Channar Z.A.; Soomro H.A.; Streimikis J.; Kyriakopoulos G.L.,"Ahmed, Rizwan Raheem (56526144600); Streimikiene, Dalia (57195415199); Channar, Zahid Ali (36715845200); Soomro, Hassan Abbas (57854143400); Streimikis, Justas (57201117295); Kyriakopoulos, Grigorios L. (6603382498)",56526144600; 57195415199; 36715845200; 57854143400; 57201117295; 6603382498,The Neuromarketing Concept in Artificial Neural Networks: A Case of Forecasting and Simulation from the Advertising Industry,2022,Sustainability (Switzerland),14,14,8546,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136364836&doi=10.3390%2fsu14148546&partnerID=40&md5=2fe412eaa464485d39e060b22d5245b3,"This research aims to examine a neural network (artificial intelligence) as an alternative model to examine the neuromarketing phenomenon. Neuromarketing is comparatively new as a technique for designing marketing strategies, especially advertising campaigns. Marketers have used a variety of different neuromarketing tools, for instance functional magnetic resonance imaging (fMRI), eye tracking, electroencephalography (EEG), steady-state probe topography (SSPT), and other expensive gadgets. Similarly, researchers have been using these devices to carry out their studies. Therefore, neuromarketing has been an expensive project for both companies and researchers. We employed 585 human responses and used the neural network (artificial intelligence) technique to examine the predictive consumer buying behavior of an effective advertisement. For this purpose, we employed two neural network applications (artificial intelligence) to examine consumer buying behavior, first taken from a 1–5 Likert scale. A second application was run to examine the predicted consumer buying behavior in light of the neuromarketing phenomenon. The findings suggest that a neural network (artificial intelligence) is a unique, cost-effective, and powerful alternative to traditional neuromarketing tools. This study has significant theoretical and practical implications for future researchers and brand managers in the service and manufacturing sectors. © 2022 by the authors.",artificial neural networks; electroencephalography; functional magnetic resonance imaging; neuromarketing; predicted consumer buying behavior
Martinez-Levy A.; Cherubino P.; Rossi D.; Ezquerro M.-T.H.; Trettel A.; Babiloni F.,"Martinez-Levy, Ana (57204218022); Cherubino, Patrizia (54894299700); Rossi, Dario (57201867718); Ezquerro, María-Trinidad Herrero (55884668600); Trettel, Arianna (55936931600); Babiloni, Fabio (7006787992)",57204218022; 54894299700; 57201867718; 55884668600; 55936931600; 7006787992,Advances in Neuroscience and Its Application in Economics and Marketing Research,2021,Micro and Macro Marketing,30,3,,521,546,25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130592055&doi=10.1431%2f102504&partnerID=40&md5=93459a5fbc85ee32e5becbea309b5e2d,"Since the beginning of the 21st century it was recognized that marketing management needed to keep up with a new era: innovating its tools and methods, strengthening its role within the organisation, addressing new horizons, promoting an ethic approach, putting the individual-consumer at the core of the processes (Wright and Wagner, 2008). Now, after more than a decade, the marketing approach to other disciplines has led to advances in the field for a better understanding of consumer insights. Technological advances in fields such as neuroscience have facilitated investigations of consumer decision-making processes in real-world settings. In 2004, Camerer, Loewenstein and Prelec wrote about to bring neuroscience techniques and knowledge to bear on economic analysis (Camerer, Loewenstein and Prelec, 2004). The hope at that point in time was that the new functional magnetic resonance imaging (fMri) technique would allow researchers to identify which regions of the human brain are involved in different types of decisions and that activity in those regions would definitively reveal people's thoughts (Konovalov and Krajbich, 2019). Attempting to link both disciplines - economics and neuroscience - becomes evident that they have to learn a lot from each other (Bechara and Damasio, 2005; Smith et al., 2002). From this perspective, neuroeconomics is defined as applying neuroscientific methods to analyse and understand economically relevant behaviour (Camerer et al., 2004). Later, the discipline evolved by applying this methodology to other market issues. Thanks to the technological progress and the development of innovative solutions applied to neuroimaging, such as less invasive and wearable devices, the neuroscientific approach became a powerful tool to investigate unconscious reactions and the brain functioning during daily life (Borghini et al., 2019; Di Flumeri et al., 2019). Applied to marketing research, the term neuromarketing describes a field of study defined as applying neuroscientific methods to analyse and understand human behaviour concerning markets and marketing exchanges (Lee, Broderick and Chamberlain, 2007). This new paradigm in the management market with a centrality of the consumer insights through neuroscience techniques is currently applied in each marketing area such as communication, product, packaging, brand, retail, and pricing (please see Cherubino et al., 2019 for a review of provided insights from each marketing area). Within the discipline, there has been an evolution regarding the application areas. In recent years, researchers have focused their attention on applying the neuroscientific methods in product development, not only to the extrinsic features (i.e., packaging, price, shape, colour, and texture) but also to their intrinsic values (i.e., aroma, flavour). Framing these pieces of evidence with the current consumer-style - increasingly informed and interested in a healthy lifestyle without giving up the pleasure of taste -, seems of crucial interest to evolve in the application mentioned above of measuring experiences within the Food and Beverage (F&B) sector. This research aims to deepen the use of neuroscientific technologies in market research, focusing on neuroscience's contribution to the marketing management discipline and F&B marketers. The advantages and the pitfall of using neuroscience in the marketing applications will be discussed, and insights provided by consumer neurophysiological responses during different products' consumption experiences will be presented. © 2021 Societa Editrice Il Mulino. All rights reserved.",beverage; familiarity; Marketing; neuroscience; preference
Bhardwaj S.; Rana G.A.; Behl A.; Gallego de Caceres S.J.,"Bhardwaj, Shikha (57481698900); Rana, Gunjan A (57557938700); Behl, Abhishek (56554009500); Gallego de Caceres, Santiago Juan (57936186100)",57481698900; 57557938700; 56554009500; 57936186100,Exploring the boundaries of Neuromarketing through systematic investigation,2023,Journal of Business Research,154,,113371,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140326095&doi=10.1016%2fj.jbusres.2022.113371&partnerID=40&md5=81b6f810b0d2657e73ddf4a895ce2767,"Neuromarketing literature has grown remarkably in recent years. Although the field has generated a diverse body of knowledge, we still find a dearth of studies classifying the existing literature into research themes and further presenting known and unknown aspects of Neuromarketing from a business and management viewpoint. To bridge this gap, the present study conducted a systematic literature review of Neuromarketing from 2011 to 2021, with a sample of 100 peer-reviewed articles. Based on rigorous review and thematic analysis of 41 relevant research articles, four research themes were identified – 1) Phenomenon, 2) Application, 3) Bright side, and 4) Dark side of Neuromarketing. Further, a theoretical framework of neuromarketing effect on consumer behaviour was presented. Future research thrust areas in theory, application, methodology, and evidence were identified. © 2022 Elsevier Inc.",Consumer; Neuromarketing; Neuroscience; Systematic review; Technology
Alsharif A.H.; Salleh N.Z.M.; Hashem E A.R.; Khraiwish A.; Putit L.; Arif L.S.M.,"Alsharif, Ahmed H. (57216488997); Salleh, Nor Zafir Md (57210442397); Hashem E, Alharthi Rami (57565362900); Khraiwish, Ahmad (24463328600); Putit, Lennora (41762608400); Arif, Lily Suriani Mohd (57209268092)",57216488997; 57210442397; 57565362900; 24463328600; 41762608400; 57209268092,Exploring Factors Influencing Neuromarketing Implementation in Malaysian Universities: Barriers and Enablers,2023,Sustainability (Switzerland),15,5,4603,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149979506&doi=10.3390%2fsu15054603&partnerID=40&md5=55c1fefff06a10d4499e5c3335022cc4,"This paper aims to explore academicians’ perceptions and perspectives regarding the limitations, challenges, and potential solutions of neuromarketing implementations in the Malaysian context. A semi-structured interview with 16 academicians was conducted. The findings revealed that several issues had impeded the growth of neuromarketing, such as ethical and manipulation concerns, the high cost, the need for specialized expertise, lack of proper knowledge and understanding, the lack of financial resources, the lack of labs and facilities, and time requirements. Despite these obstacles, the academicians suggested several potential solutions to enhance the application of neuromarketing, such as establishing strong collaborative networks, providing labs and facilities, increasing financial resources, complying with laws and regulations, and reducing tools and experiment costs. This study will significantly contribute to the body of knowledge by increasing awareness of the potential difficulties in implementing neuromarketing techniques and helping to guide future research and development. This information can inform decision making by practitioners, researchers, and stakeholders, allowing them to make more informed decisions about using and implementing neuromarketing. To the best of the authors’ knowledge, no current study has identified avenues for future research in neuromarketing and the emerging challenges and limitations that researchers may face in Malaysia. The current paper aims to foster the application of neuromarketing by providing potential solutions to overcome the obstacles researchers face. Moreover, quantitative research is required to test, measure, and validate the items revealed in this study’s findings. © 2023 by the authors.",challenges; consumer behavior; limitations; neuromarketing; solutions
Brdar I.,"Brdar, Ivana (57226804622)",57226804622,Mind Over Palate: Unveiling the Role of Neuromarketing in the Food Industry; [Um iznad nepca: Otkrivanje uloge neuromarketinga u industriji hrane],2023,Meat Technology,64,1,,50,60,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169586492&doi=10.18485%2fmeattech.2023.64.1.5&partnerID=40&md5=3566e5ec3843db9c5e8859a0334d8894,"This scientific paper investigates the application of neuromarketing research in the food industry and its impact on consumer behaviour and perception of food quality. Through a comprehensive review of the relevant literature, this study explores the fun‑ damental concepts and techniques of neuromarketing research, as well as their practical application within the context of the food industry. Furthermore, it analyses the various factors that influence consumer perception of food quality and examines how neuromarketing research can contribute to a better understanding of these factors. By integrating theoretical and empirical findings, this paper offers valuable insights into the potential benefits and advantages of utilising neuromarketing research, while also acknowledging the ethical challenges associated with its implementation in creating effective marketing strategies and enhancing the overall consumer experience in the food industry. ©The Author(s) 2023. Published by Baishideng Publishing Group Inc. All rights reserved.",consumer behaviour; food industry; food quality; marketing; neuromarketing
Magalhães M.; Rodrigues M.; Pereira J.; Borges I.; Brás S.,"Magalhães, Miguel (57204012831); Rodrigues, Margarida (57194551205); Pereira, Joana (57742394300); Borges, Isabel (57214994626); Brás, Sandra (57361610500)",57204012831; 57194551205; 57742394300; 57214994626; 57361610500,"Deep Learning Neuromarketing (DLN) Applied to the HORECA Channel (Hotel, Restaurants, and Cafés)",2022,"Smart Innovation, Systems and Technologies",284,,,439,447,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132010664&doi=10.1007%2f978-981-16-9701-2_35&partnerID=40&md5=f85fac752657c92e268c69fcaf3b5843,"The deep learning neuromarketing (DLN) application algorithm is a digital transformation application, user-first, online, economic, and ecological, able to transform “data” in real time into “knowledge” in order to allow managers of the HORECA channel (hotéis, restaurantes, and cafés) to make agile decisions. To respond to the current challenges of hotels, restaurants, and cafes, a multidisciplinary technological and digital marketing team, in 2019, developed a deep learning neuromarketing solution that allows them to be more effective in promoting the menu meals and services of the establishments of the HORECA channel. The technology used is a deep learning neuromarketing application, already implemented in 20 convenience stores, in an organization that owns its own network with more than 200 points of sale. As a result of this test, data were collected and processed in real time, during 234 calendar days, 3.276.000 visits were recorded, collected through a digital screen placed above the cashier’s window. Through this test, an increase in “impulse sales” of around 30% was observed, by displaying the appropriate “advertisement” for the consumer who sees it, thus allowing the effectiveness and efficiency of the advertising campaigns displayed per establishment to be monitored on a dashboard in terms of units sold and turnover. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Consumer behavior and consumption habits; Deep learning; HORECA channel; Neuromarketing
Karmarkar U.R.; Carroll A.L.; Burke M.; Hijikata S.,"Karmarkar, Uma R. (7003317994); Carroll, Ann L. (57204710202); Burke, Marina (57253109200); Hijikata, Shori (57253356900)",7003317994; 57204710202; 57253109200; 57253356900,Category Congruence of Display-Only Products Influences Attention and Purchase Decisions,2021,Frontiers in Neuroscience,15,,610060,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114600800&doi=10.3389%2ffnins.2021.610060&partnerID=40&md5=c126188579382517934674f86453e258,"In e-commerce settings, shoppers can navigate to product-specific pages on which they are asked to make yes-or-no decisions about buying a particular item. Beyond that target, there are often other products displayed on the page, such as those suggested by the retailers’ recommendation systems, that can influence consumers’ buying behavior. We propose that display items that come from the same category as the target product (matched) may enhance target purchase by increasing the attractiveness of the presented opportunity. Contrasting this, mismatched display items may reduce purchase by raising awareness of opportunity costs. Eye-tracking was used to explore this framework by examining how different types of displays influenced visual attention. Although target purchase rates were higher for products with matched vs. mismatched displays, there was no difference in fixation time for the target images. However, participants attended to mismatched display items for more time than they did for matched ones consistent with the hypothesized processes. In addition, increases in display attractiveness increased target purchase, but only for matched items, in line with supporting the target category. Given the importance of relative attention and information in determining the impact of display items, we replicated the overall purchase effect across varying amounts of available display information in a second behavioral study. This demonstration of robustness supports the translational relevance of these findings for application in industry. © Copyright © 2021 Karmarkar, Carroll, Burke and Hijikata.",attention; choice-behavior; consumer neuroscience; decision making; e-commerce; eyetracking; neuromarketing; retail
Baldo D.; Viswanathan V.S.; Timpone R.J.; Venkatraman V.,"Baldo, Davide (56928103300); Viswanathan, Vaidyanathan S. (57723537200); Timpone, Richard J. (57722431400); Venkatraman, Vinod (6603771625)",56928103300; 57723537200; 57722431400; 6603771625,"The heart, brain, and body of marketing: Complementary roles of neurophysiological measures in tracking emotions, memory, and ad effectiveness",2022,Psychology and Marketing,39,10,,1979,1991,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131215038&doi=10.1002%2fmar.21697&partnerID=40&md5=701fcfbca82fc93016fa2d2cea1d8f31,"While neuromarketing research delineates how specific neurophysiological methods offer predictive power beyond traditional survey methods, few studies explore how these methods can be used concurrently to measure outcomes across marketing contexts. We address this gap by simultaneously eliciting multiple neurophysiological measures: inter-beat interval from heart rate, skin conductance response, and frontal alpha asymmetry from electroencephalography (EEG) across multiple stimulus categories, and associating them with distinct psychological (emotional valence and arousal) and marketing (ad recognition and ad effectiveness) outcomes. We found that inter-beat interval was associated with emotional valence while skin conductance response was associated with emotional arousal across all stimulus types. Critically, self-reported arousal and inter-beat interval at both the aggregate and frame level were associated with ad recognition, but self-reported valence was not. Finally, inter-beat interval and frontal alpha asymmetry played complementary roles in predicting out-of-sample ad effectiveness. Specifically, while inter-beat interval was a significant predictor of out-of-sample brand recognition and not purchase intention, frontal alpha asymmetry was associated with purchase intention and not brand recognition components of ad effectiveness. Our results demonstrate distinct and complementary marketing applications for inter-beat interval, skin conductance response, and frontal alpha asymmetry and provide valuable insights to practitioners seeking to incorporate findings from these neurophysiological methodologies into their marketing decisions. © 2022 The Authors. Psychology & Marketing Published by Wiley Periodicals LLC.",arousal; brand recognition; consumer neuroscience; emotional valence; neuromarketing; neurophysiological methods; purchase intent
